# TIC 276754403, Night 2025-07-15
# Transit midtime (Tc) = 2460872.5998194860
# T1 = 2460872.5443472126
# T4 = 2460872.6552917594
BJD,FLUX
2460872.4751388887,1.0
2460872.4753847364,1.0
2460872.475630584,1.0
2460872.475876432,1.0
2460872.4761222797,1.0
2460872.4763681274,1.0
2460872.4766139747,1.0
2460872.4768598224,1.0
2460872.47710567,1.0
2460872.477351518,1.0
2460872.4775973656,1.0
2460872.4778432134,1.0
2460872.478089061,1.0
2460872.478334909,1.0
2460872.4785807566,1.0
2460872.4788266043,1.0
2460872.479072452,1.0
2460872.4793183,1.0
2460872.479564147,1.0
2460872.479809995,1.0
2460872.4800558425,1.0
2460872.4803016903,1.0
2460872.480547538,1.0
2460872.4807933858,1.0
2460872.4810392335,1.0
2460872.4812850812,1.0
2460872.481530929,1.0
2460872.4817767767,1.0
2460872.4820226245,1.0
2460872.482268472,1.0
2460872.4825143195,1.0
2460872.482760167,1.0
2460872.483006015,1.0
2460872.4832518627,1.0
2460872.4834977104,1.0
2460872.483743558,1.0
2460872.483989406,1.0
2460872.4842352537,1.0
2460872.4844811014,1.0
2460872.484726949,1.0
2460872.484972797,1.0
2460872.4852186446,1.0
2460872.485464492,1.0
2460872.4857103396,1.0
2460872.4859561874,1.0
2460872.486202035,1.0
2460872.486447883,1.0
2460872.4866937306,1.0
2460872.4869395783,1.0
2460872.487185426,1.0
2460872.487431274,1.0
2460872.4876771215,1.0
2460872.4879229693,1.0
2460872.4881688165,1.0
2460872.4884146643,1.0
2460872.488660512,1.0
2460872.4889063598,1.0
2460872.4891522075,1.0
2460872.4893980552,1.0
2460872.489643903,1.0
2460872.4898897507,1.0
2460872.4901355985,1.0
2460872.490381446,1.0
2460872.490627294,1.0
2460872.4908731417,1.0
2460872.491118989,1.0
2460872.4913648367,1.0
2460872.4916106844,1.0
2460872.491856532,1.0
2460872.49210238,1.0
2460872.4923482276,1.0
2460872.4925940754,1.0
2460872.492839923,1.0
2460872.493085771,1.0
2460872.4933316186,1.0
2460872.4935774663,1.0
2460872.493823314,1.0
2460872.4940691614,1.0
2460872.494315009,1.0
2460872.494560857,1.0
2460872.4948067046,1.0
2460872.4950525523,1.0
2460872.4952984,1.0
2460872.495544248,1.0
2460872.4957900955,1.0
2460872.4960359433,1.0
2460872.496281791,1.0
2460872.4965276388,1.0
2460872.4967734865,1.0
2460872.4970193338,1.0
2460872.4972651815,1.0
2460872.4975110292,1.0
2460872.497756877,1.0
2460872.4980027247,1.0
2460872.4982485725,1.0
2460872.49849442,1.0
2460872.498740268,1.0
2460872.4989861157,1.0
2460872.4992319634,1.0
2460872.499477811,1.0
2460872.4997236584,1.0
2460872.499969506,1.0
2460872.500215354,1.0
2460872.5004612016,1.0
2460872.5007070494,1.0
2460872.500952897,1.0
2460872.501198745,1.0
2460872.5014445926,1.0
2460872.5016904403,1.0
2460872.501936288,1.0
2460872.502182136,1.0
2460872.5024279836,1.0
2460872.502673831,1.0
2460872.5029196786,1.0
2460872.5031655263,1.0
2460872.503411374,1.0
2460872.503657222,1.0
2460872.5039030695,1.0
2460872.5041489173,1.0
2460872.504394765,1.0
2460872.5046406128,1.0
2460872.5048864605,1.0
2460872.505132308,1.0
2460872.505378156,1.0
2460872.5056240032,1.0
2460872.505869851,1.0
2460872.5061156987,1.0
2460872.5063615465,1.0
2460872.506607394,1.0
2460872.506853242,1.0
2460872.5070990897,1.0
2460872.5073449374,1.0
2460872.507590785,1.0
2460872.507836633,1.0
2460872.5080824806,1.0
2460872.5083283284,1.0
2460872.5085741756,1.0
2460872.5088200234,1.0
2460872.509065871,1.0
2460872.509311719,1.0
2460872.5095575666,1.0
2460872.5098034143,1.0
2460872.510049262,1.0
2460872.51029511,1.0
2460872.5105409576,1.0
2460872.5107868053,1.0
2460872.511032653,1.0
2460872.5112785003,1.0
2460872.511524348,1.0
2460872.511770196,1.0
2460872.5120160435,1.0
2460872.5122618913,1.0
2460872.512507739,1.0
2460872.5127535868,1.0
2460872.5129994345,1.0
2460872.513245282,1.0
2460872.51349113,1.0
2460872.5137369777,1.0
2460872.5139828254,1.0
2460872.5142286727,1.0
2460872.5144745205,1.0
2460872.514720368,1.0
2460872.514966216,1.0
2460872.5152120637,1.0
2460872.5154579114,1.0
2460872.515703759,1.0
2460872.515949607,1.0
2460872.5161954546,1.0
2460872.5164413024,1.0
2460872.51668715,1.0
2460872.516932998,1.0
2460872.517178845,1.0
2460872.517424693,1.0
2460872.5176705406,1.0
2460872.5179163883,1.0
2460872.518162236,1.0
2460872.518408084,1.0
2460872.5186539316,1.0
2460872.5188997793,1.0
2460872.519145627,1.0
2460872.519391475,1.0
2460872.5196373225,1.0
2460872.5198831703,1.0
2460872.5201290175,1.0
2460872.5203748653,1.0
2460872.520620713,1.0
2460872.5208665607,1.0
2460872.5211124085,1.0
2460872.521358256,1.0
2460872.521604104,1.0
2460872.5218499517,1.0
2460872.5220957994,1.0
2460872.522341647,1.0
2460872.522587495,1.0
2460872.522833342,1.0
2460872.52307919,1.0
2460872.5233250377,1.0
2460872.5235708854,1.0
2460872.523816733,1.0
2460872.524062581,1.0
2460872.5243084286,1.0
2460872.5245542764,1.0
2460872.524800124,1.0
2460872.525045972,1.0
2460872.5252918196,1.0
2460872.5255376673,1.0
2460872.5257835146,1.0
2460872.5260293623,1.0
2460872.52627521,1.0
2460872.526521058,1.0
2460872.5267669056,1.0
2460872.5270127533,1.0
2460872.527258601,1.0
2460872.527504449,1.0
2460872.5277502965,1.0
2460872.5279961443,1.0
2460872.528241992,1.0
2460872.5284878397,1.0
2460872.528733687,1.0
2460872.5289795347,1.0
2460872.5292253825,1.0
2460872.52947123,1.0
2460872.529717078,1.0
2460872.5299629257,1.0
2460872.5302087734,1.0
2460872.530454621,1.0
2460872.530700469,1.0
2460872.5309463167,1.0
2460872.5311921644,1.0
2460872.531438012,1.0
2460872.5316838594,1.0
2460872.531929707,1.0
2460872.532175555,1.0
2460872.5324214026,1.0
2460872.5326672504,1.0
2460872.532913098,1.0
2460872.533158946,1.0
2460872.5334047936,1.0
2460872.5336506413,1.0
2460872.533896489,1.0
2460872.534142337,1.0
2460872.534388184,1.0
2460872.534634032,1.0
2460872.5348798796,1.0
2460872.5351257273,1.0
2460872.535371575,1.0
2460872.535617423,1.0
2460872.5358632705,1.0
2460872.5361091183,1.0
2460872.536354966,1.0
2460872.5366008137,1.0
2460872.5368466615,1.0
2460872.537092509,1.0
2460872.5373383565,1.0
2460872.537584204,1.0
2460872.537830052,1.0
2460872.5380758997,1.0
2460872.5383217474,1.0
2460872.538567595,1.0
2460872.538813443,1.0
2460872.5390592907,1.0
2460872.5393051384,1.0
2460872.539550986,1.0
2460872.539796834,1.0
2460872.5400426816,1.0
2460872.540288529,1.0
2460872.5405343766,1.0
2460872.5407802244,1.0
2460872.541026072,1.0
2460872.54127192,1.0
2460872.5415177676,1.0
2460872.5417636153,1.0
2460872.542009463,1.0
2460872.542255311,1.0
2460872.5425011585,1.0
2460872.5427470063,1.0
2460872.542992854,1.0
2460872.5432387013,1.0
2460872.543484549,1.0
2460872.543730397,1.0
2460872.5439762445,1.0
2460872.5442220923,1.0
2460872.54446794,0.9999864475619151
2460872.5447137877,0.9999264230621713
2460872.5449596355,0.9998387074348609
2460872.545205483,0.9997295432777064
2460872.545451331,0.9996021891547981
2460872.5456971787,0.9994588066615212
2460872.545943026,0.9993010017830944
2460872.5461888737,0.9991300508978703
2460872.5464347214,0.9989470179269477
2460872.546680569,0.998752819114615
2460872.546926417,0.9985482642864929
2460872.5471722647,0.9983340839340259
2460872.5474181124,0.9981109480136755
2460872.54766396,0.9978794795270616
2460872.547909808,0.9976402646693487
2460872.5481556556,0.9973938606424684
2460872.5484015034,0.9971408018355432
2460872.548647351,0.9968816048393593
2460872.5488931984,0.9966167731223593
2460872.549139046,0.9963467985649813
2460872.549384894,0.9960721675709033
2460872.5496307416,0.9957933618442143
2460872.5498765893,0.9955108614319551
2460872.550122437,0.9952251471221354
2460872.550368285,0.9949367027618953
2460872.5506141325,0.9946460175573685
2460872.5508599803,0.9943535884142173
2460872.551105828,0.9940599223789052
2460872.5513516758,0.9937655392456809
2460872.5515975235,0.9934709744033502
2460872.551843371,0.9931767825668315
2460872.5520892185,0.9928835391618038
2460872.5523350663,0.9925918478616211
2460872.552580914,0.9923023433128648
2460872.5528267617,0.9920156976657067
2460872.5530726095,0.9917326279125479
2460872.553318457,0.9914539050924449
2460872.553564305,0.99118036609618
2460872.5538101527,0.9909129291885133
2460872.5540560004,0.9906526150093462
2460872.554301848,0.9904005759609146
2460872.554547696,0.990158139046794
2460872.554793543,0.9899268720387666
2460872.555039391,0.9897086896404221
2460872.5552852387,0.9895060503945967
2460872.5555310864,0.989322356543678
2460872.555776934,0.9891630062609852
2460872.556022782,0.9890404431584398
2460872.5562686296,0.9889720925355282
2460872.5565144774,0.9889103287301229
2460872.556760325,0.9888524172135957
2460872.557006173,0.9887976848390363
2460872.5572520206,0.9887456910050522
2460872.557497868,0.9886961149488821
2460872.5577437156,0.9886487084208223
2460872.5579895633,0.9886032720276126
2460872.558235411,0.9885596407567427
2460872.558481259,0.9885176751843459
2460872.5587271065,0.9884772555358133
2460872.5589729543,0.9884382775361265
2460872.559218802,0.9884006494057791
2460872.5594646498,0.9883642896218028
2460872.5597104975,0.9883291252079577
2460872.5599563452,0.9882950904018071
2460872.560202193,0.9882621255970491
2460872.5604480403,0.988230176550885
2460872.560693888,0.9881991934479702
2460872.5609397357,0.98816913068835
2460872.5611855835,0.9881399461635058
2460872.561431431,0.9881116009132697
2460872.561677279,0.9880840587820907
2460872.5619231267,0.9880572861247953
2460872.5621689744,0.988031251553013
2460872.562414822,0.9880059257153122
2460872.56266067,0.9879812811054987
2460872.5629065176,0.9879572918946145
2460872.5631523654,0.987933933783019
2460872.5633982127,0.9879111839121119
2460872.5636440604,0.9878890205769941
2460872.563889908,0.9878674233814587
2460872.564135756,0.9878463729719732
2460872.5643816036,0.9878258509983113
2460872.5646274514,0.987805840038833
2460872.564873299,0.9877863235330515
2460872.565119147,0.9877672857206163
2460872.5653649946,0.9877487115859551
2460872.5656108423,0.9877305868079325
2460872.56585669,0.9877128977139659
2460872.566102538,0.9876956312381123
2460872.566348385,0.9876787749142517
2460872.566594233,0.9876623167139701
2460872.5668400805,0.9876462452057629
2460872.5670859283,0.9876305493968172
2460872.567331776,0.9876152187378817
2460872.5675776238,0.987600243097928
2460872.5678234715,0.9875856127407066
2460872.5680693192,0.9875713183030306
2460872.568315167,0.987557350774629
2460872.5685610147,0.9875437014794292
2460872.5688068625,0.9875303620581429
2460872.5690527097,0.9875173244764636
2460872.5692985575,0.9875045809117335
2460872.569544405,0.9874921238869678
2460872.569790253,0.9874799461583175
2460872.5700361007,0.9874680407276939
2460872.5702819484,0.9874564008311932
2460872.570527796,0.9874450199282413
2460872.570773644,0.9874338916914047
2460872.5710194916,0.9874230099968153
2460872.5712653394,0.9874123689151655
2460872.571511187,0.9874019627032318
2460872.571757035,0.987391785795886
2460872.572002882,0.9873818328172086
2460872.57224873,0.9873720984983968
2460872.5724945776,0.9873625777841488
2460872.5727404254,0.987353265750497
2460872.572986273,0.987344157617867
2460872.573232121,0.9873352487453948
2460872.5734779686,0.987326534625544
2460872.5737238163,0.9873180108790018
2460872.573969664,0.987309673249838
2460872.574215512,0.9873015176009104
2460872.5744613595,0.987293539909501
2460872.5747072073,0.9872857362631665
2460872.5749530545,0.9872781028700951
2460872.5751989023,0.9872706359978431
2460872.57544475,0.9872633320565003
2460872.5756905978,0.9872561875371412
2460872.5759364455,0.9872491990231972
2460872.5761822932,0.9872423631873656
2460872.576428141,0.9872356767886574
2460872.5766739887,0.9872291366695815
2460872.5769198365,0.9872227397534543
2460872.577165684,0.9872164830418303
2460872.577411532,0.9872103636120462
2460872.5776573797,0.9872043786148703
2460872.577903227,0.9871985252832229
2460872.5781490747,0.9871928008859246
2460872.5783949224,0.9871872027921532
2460872.57864077,0.9871817284248802
2460872.578886618,0.9871763752701912
2460872.5791324656,0.9871711408754764
2460872.5793783134,0.9871660228476914
2460872.579624161,0.9871610188516924
2460872.579870009,0.9871561266086382
2460872.5801158566,0.9871513438944542
2460872.5803617043,0.9871466685383601
2460872.5806075516,0.9871420984300123
